n,p,DPAvgValidPaths,DPAvgOptimalPaths,RecAvgValidPaths,RecAvgOptimalPaths
10,0.180000,670.428571,2.857143,670.428571,2.857143
10,0.190000,785.000000,5.200000,785.000000,5.200000
10,0.200000,452.500000,5.000000,452.500000,5.000000
10,0.210000,643.500000,1.500000,643.500000,1.500000
10,0.220000,1604.166667,1.500000,1604.166667,1.500000
10,0.230000,77.250000,3.000000,77.250000,3.000000
10,0.240000,261.250000,2.500000,261.250000,2.500000
10,0.250000,53.000000,3.333333,53.000000,3.333333
10,0.260000,775.333333,3.666667,775.333333,3.666667
10,0.270000,77.000000,4.200000,77.000000,4.200000
10,0.280000,33.500000,3.000000,33.500000,3.000000
10,0.290000,131.000000,6.500000,131.000000,6.500000
10,0.300000,68.000000,3.000000,68.000000,3.000000
10,0.310000,88.000000,15.000000,88.000000,15.000000
10,0.320000,45.750000,2.500000,45.750000,2.500000
10,0.330000,7.000000,1.000000,7.000000,1.000000
10,0.340000,0.000000,0.000000,0.000000,0.000000
10,0.350000,7.000000,6.000000,7.000000,6.000000
10,0.360000,0.000000,0.000000,0.000000,0.000000
10,0.370000,0.000000,0.000000,0.000000,0.000000
10,0.380000,6.000000,1.000000,6.000000,1.000000
10,0.390000,0.000000,0.000000,0.000000,0.000000
10,0.400000,14.000000,2.000000,14.000000,2.000000
10,0.410000,24.000000,3.000000,24.000000,3.000000
10,0.420000,0.000000,0.000000,0.000000,0.000000
10,0.430000,0.000000,0.000000,0.000000,0.000000
10,0.440000,0.000000,0.000000,0.000000,0.000000
10,0.450000,0.000000,0.000000,0.000000,0.000000
10,0.460000,0.000000,0.000000,0.000000,0.000000
10,0.470000,0.000000,0.000000,0.000000,0.000000
10,0.480000,0.000000,0.000000,0.000000,0.000000
10,0.490000,0.000000,0.000000,0.000000,0.000000
10,0.500000,0.000000,0.000000,0.000000,0.000000
10,0.510000,0.000000,0.000000,0.000000,0.000000
10,0.520000,0.000000,0.000000,0.000000,0.000000
10,0.530000,0.000000,0.000000,0.000000,0.000000
10,0.540000,0.000000,0.000000,0.000000,0.000000
10,0.550000,0.000000,0.000000,0.000000,0.000000
10,0.560000,0.000000,0.000000,0.000000,0.000000
10,0.570000,0.000000,0.000000,0.000000,0.000000
10,0.580000,0.000000,0.000000,0.000000,0.000000
10,0.590000,0.000000,0.000000,0.000000,0.000000
10,0.600000,0.000000,0.000000,0.000000,0.000000
10,0.610000,0.000000,0.000000,0.000000,0.000000
10,0.620000,0.000000,0.000000,0.000000,0.000000
10,0.630000,0.000000,0.000000,0.000000,0.000000
10,0.640000,0.000000,0.000000,0.000000,0.000000
10,0.650000,0.000000,0.000000,0.000000,0.000000
10,0.660000,0.000000,0.000000,0.000000,0.000000
10,0.670000,0.000000,0.000000,0.000000,0.000000
